区域%公司全称%主营产品%地址%联系人%联系方式%原链接地址
厚街镇%东莞市景华家具有限公司%中式家具;民用家具%中国广东东莞市厚街镇寮厦国际家居%黄林远%13412558800%http://b2b.huangye88.com/gongsi/3516622/
厚街镇%昊天木业有限公司%弯曲木;拼花,贴面加工;木皮;办公家具;%中国广东东莞市广东省东莞市厚街镇%%13592716610%http://b2b.huangye88.com/gongsi/3509595/
厚街镇%东莞市和旺家具有限公司%家具;欧式家具;中式家具;款式家具;办公%中国广东东莞市东莞市厚街镇桥头第三工业区%张加斌%13538506702%http://b2b.huangye88.com/gongsi/3508717/
厚街镇%鸿宇家具材料有限公司%现代拉手;仿古拉手;合页;铜器装饰、配件%中国广东东莞市厚街镇白濠管理区%xionghongyuasd%13265402886%http://b2b.huangye88.com/gongsi/3485851/
厚街镇%妮思家具有限公司%实木家具;布艺沙发;欧式沙发;真皮沙发;%中国广东东莞市东莞市厚街镇新围村新围大道%叶焕权%86076987654321%http://b2b.huangye88.com/gongsi/3475918/
厚街镇%东莞市品胜家具有限公司%电动床  八爪椅,吊篮椅%广东东莞市厚街镇溪头村鑫浩源工业园A3-3%江成刚%13539025297%http://b2b.huangye88.com/qiye1943217/
厚街镇%台荣纤维纸业有限公司%中底板;红板;灰板;橙板;皮克隆;纤维中%中国广东东莞市厚街镇，新塘管理区%阿林%13434539369%http://b2b.huangye88.com/gongsi/3459850/
厚街镇%新益家具有限公司%中式家具;板式家具;%中国广东东莞市广东省东莞市厚街镇珊瑚路%农小姐%13412484968%http://b2b.huangye88.com/gongsi/3451650/
厚街镇%东莞明栎家具有限公司%办公家具,家具安装,办公桌椅,订做办公家具%广东东莞厚街镇%黄先生%13480058519%http://b2b.huangye88.com/qiye1910208/
厚街镇%东莞市维多利亚家具有限公司%板式仿古家具; 板式家具;%广东 东莞市 厚街双岗上环村%%86-0769-85912088%http://b2b.huangye88.com/gongsi/3415611/
厚街镇%东莞市业诚家具厂%实木家具; 板式家具;%广东 东莞市 厚街家具大道名家具展示中心2号馆旁%%86-0769-85907799%http://b2b.huangye88.com/gongsi/3391365/
厚街镇%大中华国际家具贸易有限公司%套房家具; 客厅系列; 沙发系列; 餐厅系列; 家居饰品;%广东 东莞市 厚街镇体育路香榭丽公寓%%86-0769-88910319%http://b2b.huangye88.com/gongsi/3370796/
厚街镇%东莞市厚街恒信家私厂%卧房、餐厅、客厅、书房;%广东 东莞 厚街双岗家具大道侧%%86-769-85596918/8590%http://b2b.huangye88.com/gongsi/3337948/
厚街镇%东莞市厚街美华家私厂%家具产品;%广东 东莞市 厚街镇双岗官美厦村32米大道美华家私厂%%86-769-85595015%http://b2b.huangye88.com/gongsi/3291794/
厚街镇%东莞市华伟家具有限公司%家具; 中式家具; 板式家具; 木皮家具; 实木家具;%广东 东莞市 厚街涌口草园路13-19号%%86-0769-85593683%http://b2b.huangye88.com/gongsi/3284101/
厚街镇%东莞杰兰家具有限公司%成人彩色家具; 彩色家具; 青少年儿童家具;%广东 东莞市 厚街双岗镇%%86-0769-859846%http://b2b.huangye88.com/gongsi/3206834/
厚街镇%美思凯家具有限公司%家具;装饰品;%广东 东莞市 厚街镇家具大道%美思凯%86 0769 81566058%http://b2b.huangye88.com/gongsi/3181167/
厚街镇%广东省东莞市厚街瑞峰家具公司%套房家具;%广东 东莞市 厚街桥头七石工业区%%86-0769-85968430%http://b2b.huangye88.com/gongsi/3180421/
厚街镇%远梦家用纺织有限公司%床上用品; 毛巾被; 毛毯; 竹席; 蚊帐; 床垫; 水枕头;%广东 东莞市 厚街镇南五施生工业区%%86-0769-83085188-222%http://b2b.huangye88.com/gongsi/3172265/
厚街镇%美特家具厂%成套卧室家具; 现代套房; 古典套房; 新古典套房; 地柜;%广东 东莞市 厚街镇桥头村黑山工业区%%86-0769-85594171%http://b2b.huangye88.com/gongsi/3169736/
厚街镇%龚氏家具有限公司%家具; 家具;%广东 东莞市 厚街家具大道中%%86-0133-60658138%http://b2b.huangye88.com/gongsi/3149533/
厚街镇%铭尚五金家具厂%学生椅; 餐台; 餐椅; 休闲椅; 吧椅; 茶几; 学生桌;%广东 东莞市 厚街河田南朗村博览大道旁%吴隆钊先生(经理)%86-0769-85080322%http://b2b.huangye88.com/gongsi/3139262/
厚街镇%东莞波斯猫居品有限公司%沙发; 餐桌椅; 床; 茶几; 休闲椅;%广东 东莞市 东莞市厚街镇沙田管理区义沙村三排尾%%86-0769-83043008%http://b2b.huangye88.com/gongsi/3108923/
厚街镇%东莞市睡眠曲家居有限公司%天然乳胶枕;天然乳胶床垫;电动床垫;家具材料;乳胶绵;座垫;汽车头枕;护颈;抱枕;分区床垫;独立筒装床垫;床垫;%广东 东莞市 厚街河田东头花梨园%刘铁军%86 769 83087766%http://b2b.huangye88.com/gongsi/3047165/
厚街镇%东莞市思培装饰材料有限公司%家具五金;家具铝材;铰链;拉手;滑轨;Ｕ盘外壳;锌合金拉手;二节轨;三节轨;门铰;铝型材;三合一;%广东 东莞市 厚街镇家具大道材料市场前100米%陈健安%86 0769 88918999%http://b2b.huangye88.com/gongsi/2994612/
厚街镇%得尔斯五金塑胶有限公司%电脑桌; 椅子; 餐桌; 餐椅; 拉手;%广东 东莞市 厚街第一工业区新屋园路12号%%86-0769-85999724%http://b2b.huangye88.com/gongsi/2982217/
厚街镇%德利家具有限公司%家具;%广东 东莞市 东莞市厚街镇永口管理区168号%罗小平%86 0769 15876478343%http://b2b.huangye88.com/gongsi/2975334/
厚街镇%东莞市优诺贸易有限公司%家具五金;%广东 东莞市 厚街家具大道国际材料市场%%86-769-85753998%http://b2b.huangye88.com/gongsi/2963812/
厚街镇%爱舒迪床褥厂%床褥; 酒店专用套床;%广东 东莞市 厚街家具大道6号%%86-0769-85599263%http://b2b.huangye88.com/gongsi/2957759/
厚街镇%荣爵世家家具经营部%荣爵世家;%广东 东莞市 东莞市厚街三庄路15号%%86-769-85885311%http://b2b.huangye88.com/gongsi/2944602/
厚街镇%东莞远梦家用纺织品有限公司采购部%蚊帐; 凉席; 被子; 床单; 被套; 枕头;%广东 东莞市 厚街%%86-0769-13071396093%http://b2b.huangye88.com/gongsi/2940724/
厚街镇%东莞恒辉家具有限公司%室内家具; 客厅家具; 餐厅家具;%广东 东莞市 厚街镇，双岗家具大道（展览馆旁边）%%86-769-84303000%http://b2b.huangye88.com/gongsi/2912167/
厚街镇%高大家具东莞有限公司%家具;%广东 东莞市 厚街双岗家具大道%%86-0769-23178108-809%http://b2b.huangye88.com/gongsi/2906281/
厚街镇%康宏画业%%广东 东莞市 东莞市厚街镇下环大道4号%%86-0769-83041526%http://b2b.huangye88.com/gongsi/2889055/
厚街镇%东莞市梦寐思家具有限公司%水床%广东东莞市厚街镇家具大道39号B%梁艳清%13790222149%http://dwmmsjj.b2b.huangye88.com/
厚街镇%东莞市诚成家具有限公司%美式古典家具;%广东 东莞市 厚街镇新塘路89号%%86-769-5859226%http://b2b.huangye88.com/gongsi/2825031/
厚街镇%广东天一美家家居集团有限公司%高端家具定做,进口高档家具定制,整体家具订制,样板房家具定制%广东省东莞市厚街镇家具大道23号%周灼%13902693901%http://qq2897721786.b2b.huangye88.com/
厚街镇%阿尔索亚国际贸易有限公司%套房; 办公家具; 咖啡桌椅; 沙发; 衣帽价; 铁床; 机场椅子;%广东 东莞市 厚街%%86-769-85755652%http://b2b.huangye88.com/gongsi/2821043/
厚街镇%东莞市梦寐思家具有限公司%恒温水床,特殊家具,桑拿洗浴用品%广东东莞市厚街镇%梁艳清%13929226560%http://mengmeisi.b2b.huangye88.com/
厚街镇%韩国凯力思国际企业有限公司%现代沙发; 餐台椅; 等等;%广东 东莞市 东莞市厚街镇东逸翠苑7#907%%86-0769-85033778%http://b2b.huangye88.com/gongsi/2745110/
厚街镇%东莞市汇雅家具有限公司%家具;%广东 东莞市 东莞市厚街镇%%86-0769-85830032%http://b2b.huangye88.com/gongsi/2723389/
厚街镇%东莞市锦威家具有限公司%民用套房系列;%广东 东莞市 厚街镇河田管理区%%86-0769-21348588%http://b2b.huangye88.com/gongsi/2711092/
厚街镇%东莞远梦家用纺织品有限公司开发采购部%家用纺织品;%广东 东莞市 厚街南五%%86-0769-83085188%http://b2b.huangye88.com/gongsi/2692965/
厚街镇%东莞市金基家具实业有限公司%民用家具;酒店家具;卫浴;实木家具;板式家具;卧房家具;餐台;餐椅;电视柜;浴室柜;沙发;酒柜;%广东 东莞市 厚街镇双岗上环工业区%王栩贤%%http://b2b.huangye88.com/gongsi/2663706/
厚街镇%法国联合欧陆有限公司%古典。现代家具;%广东 东莞市 东莞市厚街镇家具大道%%86-0769-85053868%http://b2b.huangye88.com/gongsi/2649891/
厚街镇%东莞雅仕玻璃钢工艺厂%玻璃钢制品; 餐桌椅; 洗水车; 包装台; 初查台; 剪线台; 食堂餐台; 快餐桌; 玻璃钢机械外壳; 工厂餐桌; 休闲坐椅; 环保卫生桶; pu发泡产品; 床头花; 镜框; 衣柜门; 线条; 家具配件; 床头柱; 配花;%广东 东莞市 东莞市厚街镇南五高速公路侧黑山工业区%%86-0769-85913448%http://b2b.huangye88.com/gongsi/2640615/
厚街镇%东莞市美新家具厂%生活家俱;%广东 东莞市 厚街镇三屯宝屯工业区%沈浩鑫%86 769 13712865%http://b2b.huangye88.com/gongsi/2638110/
厚街镇%天开家具有限公司%餐厅.客厅家具;%广东 东莞市 东莞市厚街镇%%86-769-85829485%http://b2b.huangye88.com/gongsi/2613372/
厚街镇%东莞市睡眠曲家居有限公司营销部%乳胶枕头; 乳胶海绵; 乳胶床垫; 乳胶鞋垫; 各类化妆棉; 乳胶类制品; 弹簧床垫; 高档软床; 电动床; 分区床垫;%广东 东莞市 厚街镇河田东头工业区%%86-769-83087766%http://b2b.huangye88.com/gongsi/2601034/
厚街镇%广东省东莞市利普家具有限公司%客厅家具; 卧房家具; 餐厅家具; 书房家具;%广东 东莞市 东莞市厚街下汴富民路%%86-0769-83082222/850%http://b2b.huangye88.com/gongsi/2591129/
厚街镇%荣爵世家家具公司%民用家具; 新古典; 榆木家具;%广东 东莞市 厚街%%86-769-85885311%http://b2b.huangye88.com/gongsi/2528217/
厚街镇%东莞市艾伦家具有限公司%搁板; 脚凳; 沙发; 休闲家具; 现代家具; 家居用品;%广东 东莞市 厚街家具大道双岗工业区%%86-769-85898219%http://b2b.huangye88.com/gongsi/2511174/
厚街镇%华伟家具集团%各种沙发及沙发床; 功能沙发; 板式家具; 床垫; 实木家具;%广东 东莞市 厚街镇涌口村草园路13-17号%%86-0769-5967777%http://b2b.huangye88.com/gongsi/2482636/
厚街镇%东莞联合力天家具五金与配套中心%家具五金;家具木制品;工程配套;%广东 东莞市 东莞市厚街镇家具大道%陈华健%86 0769 85857222%http://b2b.huangye88.com/gongsi/2475312/
厚街镇%东莞市盛瑞鞋材股份有限公司%%%%%http://b2b.huangye88.com/gongsi/2469429/
厚街镇%东莞深思米兰家具有限公司%现代沙发; 餐桌; 餐椅; 茶几; 床; 组合柜; 灯具;%广东 东莞市 厚街镇双岗观美厦新兴路1号%%86-0769-21151915%http://b2b.huangye88.com/gongsi/2453659/
厚街镇%东莞市华鑫五金厂%不锈钢餐台架; 不锈钢桌椅架; 茶几架; 沙发架; 沙发脚; 脚套; 床架; 展架;%广东 东莞市 厚街镇双岗官美厦新兴路四巷3号%%86-0769-81632742%http://b2b.huangye88.com/gongsi/2399659/
厚街镇%东莞市高登名店家居服务机构%家具; 床上用品; 饰品;%广东 东莞市 东莞市厚街镇家具大道182号%%86-769-26348065%http://b2b.huangye88.com/gongsi/2387234/
厚街镇%广东省东莞市厚街荣合玻璃钢厂%洗手盆; 餐桌椅，茶几; 壁炉; 酒柜; 公园椅; 制衣设备; 果皮箱;%广东 东莞市 东莞市厚街镇下汴管理区S256省道西一巷24号%%86-769-85581268%http://b2b.huangye88.com/gongsi/2376930/
厚街镇%南川市协和家电公司%海尔整体厨房;%广东 东莞市 厚街赤岭村大围工业区%%86-0769-5580413%http://b2b.huangye88.com/gongsi/2367807/
厚街镇%东莞市杰新伟邦家具制造厂%皮革; 海绵; 木头; 弹簧; 家居用品（沙发; 大理石桌; 凳子）;%广东 东莞市 东莞市厚街镇107国道第一家具博览中心三楼C区310-313号%%86-0769-83127133%http://b2b.huangye88.com/gongsi/2366408/
厚街镇%广东欧工软装设计配套有限公司%家具,地毯,窗帘,灯饰%广东东莞市厚街镇双岗村家具大道202号%方根发%13423307701%http://a5583438.b2b.huangye88.com/
厚街镇%谷庄科技实业公司%数码类; 相机; MP4; 日常用品; 环保清洁剂; OEM品牌; 服装类; 孕/幼/婴用品; OEM品牌;%广东 东莞市 厚街镇环冈%%86-0769-85087228%http://b2b.huangye88.com/gongsi/2349320/
厚街镇%东莞市厚街卡洛雅床垫厂%MDF 家具;套间bedroom;地柜cabinet;酒柜tv-unit;茶几coffe table;电视柜tv-stand;鞋柜shoe rack;%广东 东莞市 厚街双岗上环工业区%林婷婷%86 769 85593791%http://b2b.huangye88.com/gongsi/2324090/
厚街镇%粤丰五金制品有限公司%电视架;电脑桌;音响架;玻璃工艺家具;CD架;餐桌椅;%广东 东莞市 东莞市厚街镇家具大道127号%tanghui%86 0769 21087280%http://b2b.huangye88.com/gongsi/2303971/
厚街镇%东莞森得威家具有限公司%民用板式家具;%广东 东莞市 东莞市厚街镇双岗村家具大道东段%%86-769-88918089%http://b2b.huangye88.com/gongsi/2292563/
厚街镇%东莞尚格家具有限公司%快餐桌椅,食堂餐桌椅,火锅桌椅,港式茶餐厅桌椅%广东东莞市厚街镇双岗社区家具大道238号601%戴华朗%18688661967%http://b2b.huangye88.com/qiye1585148/
厚街镇%东莞市威丽建材制品有限公司业务部%人造石板材; 石英人石板材; 石英石刀具; 人造石加工; 人造石技术咨询;%广东 东莞市 厚街镇溪头工业区%%86-0769-85994942%http://b2b.huangye88.com/gongsi/2272269/
厚街镇%东莞市厚街宜宝床垫厂%弹簧床垫;乳胶床执垫;真空压缩床垫;山棕床垫.;%广东 东莞市 东莞市厚街镇桥头第三工业区博览大道中段%唐小锋%86 0769 81690666/85%http://b2b.huangye88.com/gongsi/2265335/
厚街镇%东莞市浩源家具制品有限公司%按摩床垫,排骨架,电动床床垫,床垫定制%广东东莞市厚街镇宝屯潮田工业区北环路6号%郑小姐%13538338873%http://hyjj9802.b2b.huangye88.com/
厚街镇%东莞买易恒通拓展有限公司%家居用品; 礼品; 工艺品; 服装;%广东 东莞市 厚街镇家具大道中%%86-769-85931526%http://b2b.huangye88.com/gongsi/2229225/
厚街镇%沛盛家具有限公司%套房家具;%广东 东莞市 厚街家具大道%%86-769-85593777%http://b2b.huangye88.com/gongsi/2219464/
厚街镇%深圳市嘉德利家具有限公司%五金配件;布料;木材;酒店家具;民用套房家具;实木家具;%广东 东莞市 厚街白濠工业区%利文%86 0769 85997725/85%http://b2b.huangye88.com/gongsi/2217935/
厚街镇%宝华国际实业有限公司%家具; 家具附件;%广东 东莞市 厚街%%86-769-5939898%http://b2b.huangye88.com/gongsi/2216101/
厚街镇%东莞成通五金家具厂%玻璃; 五金; 茶几; 餐台;%广东 东莞市 厚街镇双岗家具大道%%86-0769-85883413%http://b2b.huangye88.com/gongsi/2212647/
厚街镇%创域实业有限公司%民用套房; 书房; 餐厅; 客厅;%广东 东莞市 厚街家具大道尾二号展馆旁%%86-0769-85591215-216%http://b2b.huangye88.com/gongsi/2209130/
厚街镇%鼎冠五金厂%五金家具及家具五金配件;餐台;餐椅;茶几;电视柜;沙发架;吧台 椅;酒店不锈钢配套;金属家具;玻璃餐台;%广东 东莞市 厚街 惠民路28号%邓述高%86 0769 13794871249%http://b2b.huangye88.com/gongsi/2177412/
厚街镇%东莞市盛峰家具有限公司%凉亭木屋,吧台吧椅,餐桌餐椅,园林木艺品%广东东莞厚街镇家具大道272号%赵兵%18998051875%http://shengfeng1875.b2b.huangye88.com/
厚街镇%东莞市盛峰家具有限公司%仿古凉亭,实木吧台吧椅,实木餐桌餐椅,园林木艺品%广东东莞市东城街道主山东纵路208号东城万达广场C区20幢办公507号房%钟丽菊%13544879601%http://shengfeng9601.b2b.huangye88.com/
厚街镇%东莞市浩源家具制品有限公司%排骨架,电动床,床垫,软床%广东东莞市厚街镇北环路6号%郑小姐%18028995293%http://b2b.huangye88.com/qiye1549528/
厚街镇%新红阳家私有限公司%相关家居产品配套工程; 茶几.; .套房专卖; 电视柜; 酒柜.; 家居系列化产品;%广东 东莞市 厚街镇赤岭大围工业区%%86-0769-85580413%http://b2b.huangye88.com/gongsi/2142568/
厚街镇%维多利亚家具有限公司%家具;%广东 东莞市 厚街镇双岗管理区上环村%%86-0769-85992912%http://b2b.huangye88.com/gongsi/2139778/
厚街镇%欧中家具有限公司%沙发/茶几; 沙发/茶几;%广东 东莞市 厚街镇下汴丽湖山庄(欧中家具)%%86-769-85033305%http://b2b.huangye88.com/gongsi/2122760/
厚街镇%东莞市盈盛电器制品有限公司%电热毯;电热垫;电热腰带;电热鞋;电热护具;%广东 东莞市 厚街镇汀山管理区%周兴勇%86 769 85872438%http://b2b.huangye88.com/gongsi/2110952/
厚街镇%东莞市和易家具有限公司制造厂%客厅系列家具; 软体沙发; 布艺沙发;%广东 东莞市 厚街陈屋管理区%%86-0769-85896355%http://b2b.huangye88.com/gongsi/2093398/
厚街镇%东莞市浩源家具制品有限公司%排骨架,床垫,电动床,功能沙发%广东东莞市厚街镇宝屯潮田工业区北环路6号%思雨%18269075002%http://b2b.huangye88.com/qiye1530102/
厚街镇%雅思家具有限公司%卧房家具;%广东 东莞市 东莞市厚街%%86-769-85895328%http://b2b.huangye88.com/gongsi/2079739/
厚街镇%东莞金鹏家具厂%古典家具，卧房系列; 酒柜; 电视柜; 地柜;%广东 东莞市 厚街双岗村家具大道2号馆对面%%86-0769-85030168%http://b2b.huangye88.com/gongsi/2075677/
厚街镇%东莞市浩源家具有限公司%按摩床垫,排骨架,记忆枕,五区升降电动床%广东东莞厚街镇%花秀秀%13576043463%http://b2b.huangye88.com/qiye1516693/
厚街镇%东莞市大志家具有限公司%木材; 美式家具; 现代家具;%广东 东莞市 东莞市厚街镇国际现代展览中心三号馆旁边%%86-0769-81568068%http://b2b.huangye88.com/gongsi/2015563/
厚街镇%广东东莞萧邦家具设计工作室%酒店家具; 订制类家具; 板式家具; 实木家具; 整体家具; 客厅家具; 门; 卧室家具; 厨房家具; DIY家具;%广东 东莞市 厚街镇宝塘%%86-0769-81600023%http://b2b.huangye88.com/gongsi/2002442/
厚街镇%东莞市厚街湘竹木业经营部%竹板; 竹家具板; 竹单板; 竹工艺板; 竹集成材; 竹制品; 竹方; 竹圆棒; 竹皮; 楠竹;%广东 东莞市 东莞市厚街镇兴业木材市场C座1号%%86-0769-81630059%http://b2b.huangye88.com/gongsi/1998229/
厚街镇%广鸿家具有限公司%五金家具; 餐椅; 沙发; 茶几; 电脑桌;%广东 东莞市 厚街镇%%86-0769-13790110909%http://b2b.huangye88.com/gongsi/1984920/
厚街镇%东莞厚街宜宝床垫厂%床垫; 床架;%广东 东莞市 东莞市厚街镇博览大道桥头路段%%86-769-81690666%http://b2b.huangye88.com/gongsi/1973396/
厚街镇%东莞市厚街瑞峰家具厂%家具; 大床; 衣柜; 梳妆台; 家私; 间厅柜; 休闲椅; 妆台; 保护膜; 客厅柜; 茶几; 餐椅; 不干胶; 餐桌; 组合衣柜;%广东 东莞市 东莞市厚街桥头七石工业区%%86-769-5962188%http://b2b.huangye88.com/gongsi/1962040/
厚街镇%雅洛斯家具（香港）实业有限公司%木皮家具; 板式家具; 实木家具;%广东 东莞市 厚街镇南五山丽工业区%%86-769-5920101%http://b2b.huangye88.com/gongsi/1961933/
厚街镇%东莞市更升木业有限公司(卓丰木业)%实木套房; 餐台; 餐椅系列; 木门;%广东 东莞市 厚街家具大道%%86-769-81564668%http://b2b.huangye88.com/gongsi/1961216/
厚街镇%东莞市荣合玻璃钢厂销售部%快餐桌; 洗手台; 洗手盆; 古典家具; 壁炉; 玻璃钢餐桌椅; 东莞餐桌椅; 东莞快餐桌; 东莞人造石; 人造石洗手台; 人造石台面; 人造石;%广东 东莞市 东莞市厚街镇下汴管理区%%86-0769-85581268%http://b2b.huangye88.com/gongsi/1948622/
厚街镇%东莞市华宏家居用品有限公司%神柜; 神楼; 神台; 财神爷; 家居用品; 佛位;%广东 东莞市 东莞市厚街镇家具大道%%86-0769-81694594%http://b2b.huangye88.com/gongsi/1946551/
厚街镇%东莞市高森展柜展示有限公司%手机展柜,珠宝展柜,中岛柜,化妆品柜%广东东莞市厚街镇双岗中环台湾大道5号%章慧燕%13827265831%http://gaosenzhangui.b2b.huangye88.com/
厚街镇%政业集团%高级防盗锁; 不锈钢锁;%广东 东莞市 厚街镇，新塘村，双岗管理区%%86-0768-88079008%http://b2b.huangye88.com/gongsi/1928964/
厚街镇%东莞市辰日包装材料有限公司%干燥剂,防潮珠,硅胶干燥剂,货柜干燥剂%广东东莞市厚街镇河田村角元外庄东三横巷11号%徐国美%13686617275%http://b2b.huangye88.com/qiye1473733/
厚街镇%金盛家具厂%古典家具; 床; 床头柜; 梳妆台; 梳妆镜; 衣柜; 五斗柜; 电视柜; 地柜; 套房系列; 鞋柜;%广东 东莞市 厚街双岗上环工业国%%86-0769-81691148%http://b2b.huangye88.com/gongsi/1878143/
厚街镇%龚氏紫金家具有限公司%沙发; 沙发;%广东 东莞市 厚街家具大道中%%86-769-5992133%http://b2b.huangye88.com/gongsi/1787863/
厚街镇%东莞市大菱玻璃有限公司%玻璃杯;花茶%广东 东莞市 厚街镇永泰路九园新村100号%张美秀%86 0769 85037227%http://b2b.huangye88.com/gongsi/1787838/
厚街镇%东莞市远哲实业有限公司恒泰五金制品厂%%%%%http://b2b.huangye88.com/gongsi/1784566/
厚街镇%城市之窗集团家具有限公司%柜子; 床; 沙发; 椅子; 桌子;%广东 东莞市 厚街宝塘第一工业区%%86-0769-89982008%http://b2b.huangye88.com/gongsi/1746798/
厚街镇%东莞厚街艺高家具实业有限公司%组合柜; 地柜; 高档套房系列; 酒柜;%广东 东莞市 厚街家具大道双岗下环工业区%%86-769-59039３８%http://b2b.huangye88.com/gongsi/1711418/
厚街镇%东莞永青木业(封边条生产厂家)%木皮,封边条%广东东莞厚街镇%何青松%18925580575%http://b2b.huangye88.com/qiye1396858/
厚街镇%东莞利华家具制造厂%板式家具; 色彩家具; 卧房家具; 客厅家具; 贴牌单; 订做单; 工程单;%广东 东莞市 厚街镇双岗官美厦工业区%丁小姐女士(营销中心)%86-0769-85983332%http://b2b.huangye88.com/gongsi/1684270/
厚街镇%安妮家居有限公司%床上用品; 软床; 沙发;%广东 东莞市 东莞市厚街家具大道%%86-0769-4872333%http://b2b.huangye88.com/gongsi/1674262/
厚街镇%爱梦达休闲家具%恒温水床,泡泡床,爱乐椅,牛魔王%广东东莞厚街镇%刘桂芬%13602300693%http://b2b.huangye88.com/qiye1385391/
厚街镇%东莞市厚街凯兴床具厂%酒店配套床垫;床具;钢材结构床架;排骨架;全自动电动床架;布料;%广东 东莞市 东莞市厚街镇桥头第三工业区%蒋向东%86 0769 88802669%http://b2b.huangye88.com/gongsi/1651544/
